LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 12:09:06,0                 
Time,Ampl
-0.025000752,-0.00678817
-0.024999752,-0.00622258
-0.024998752,-0.00568552
-0.024997752,-0.00518479
-0.024996752,-0.00471778
-0.024995752,-0.00428969
-0.024994752,-0.00390052
-0.024993752,-0.00355286
-0.024992752,-0.00324411
-0.024991752,-0.00297169
-0.024990752,-0.0027356
-0.024989752,-0.00253582
-0.024988752,-0.00236458
-0.024987752,-0.00222189
-0.024986752,-0.00210514
-0.024985752,-0.00200914
-0.024984752,-0.0019339
-0.024983752,-0.00187682
-0.024982752,-0.00183531
-0.024981752,-0.00180677
-0.024980752,-0.00178861
-0.024979752,-0.00178083
-0.024978752,-0.00178342
-0.024977752,-0.0017912
-0.024976752,-0.00180418
-0.024975752,-0.00181715
-0.024974752,-0.00183531
-0.024973752,-0.00185347
-0.024972752,-0.00187423
-0.024971752,-0.00189239
-0.024970752,-0.00190796
-0.024969752,-0.00192352
-0.024968752,-0.0019365
-0.024967752,-0.00194687
-0.024966752,-0.00195725
-0.024965752,-0.00196503
-0.024964752,-0.00196763
-0.024963752,-0.00196763
-0.024962752,-0.00196244
-0.024961752,-0.00195466
-0.024960752,-0.00194428
-0.024959752,-0.00193131
-0.024958752,-0.00191574
-0.024957752,-0.00189758
-0.024956752,-0.00187942
-0.024955752,-0.00186126
-0.024954752,-0.00184569
-0.024953752,-0.00183272
-0.024952752,-0.00182493
-0.024951752,-0.00182493
-0.024950752,-0.00183272
-0.024949752,-0.00185088
-0.024948752,-0.00187942
-0.024947752,-0.00192352
-0.024946752,-0.0019806
-0.024945752,-0.00205584
-0.024944752,-0.00214924
-0.024943752,-0.00226081
-0.024942752,-0.00239572
-0.024941752,-0.00254879
-0.024940752,-0.00272262
-0.024939752,-0.00291721
-0.024938752,-0.00312996
-0.024937752,-0.00335827
-0.024936752,-0.00360475
-0.024935752,-0.0038616
-0.024934752,-0.00412624
-0.024933752,-0.00439866
-0.024932752,-0.00467108
-0.024931752,-0.0049435
-0.024930752,-0.00521073
-0.024929752,-0.00546758
-0.024928752,-0.00570887
-0.024927752,-0.005932
-0.024926752,-0.00613437
-0.024925752,-0.0063082
-0.024924752,-0.00645608
-0.024923752,-0.00657024
-0.024922752,-0.00665326
-0.024921752,-0.00669996
-0.024920752,-0.00671034
-0.024919752,-0.00668699
-0.024918752,-0.00662991
-0.024917752,-0.0065391
-0.024916752,-0.00641457
-0.024915752,-0.00626409
-0.024914752,-0.00608766
-0.024913752,-0.00588789
-0.024912752,-0.00567255
-0.024911752,-0.00543904
-0.024910752,-0.00519776
-0.024909752,-0.00494609
-0.024908752,-0.00469183
-0.024907752,-0.00443498
-0.024906752,-0.00418332
-0.024905752,-0.00393684
-0.024904752,-0.00369815
-0.024903752,-0.00347243
-0.024902752,-0.00326228
-0.024901752,-0.00306509
-0.024900752,-0.00288867
-0.024899752,-0.00273041
-0.024898752,-0.0025903
-0.024897752,-0.00247355
-0.024896752,-0.00237496
-0.024895752,-0.00229972
-0.024894752,-0.00224524
-0.024893752,-0.0022141
-0.024892752,-0.00220113
-0.024891752,-0.00221151
-0.024890752,-0.00224005
-0.024889752,-0.00228934
-0.024888752,-0.0023594
-0.024887752,-0.00244501
-0.024886752,-0.0025462
-0.024885752,-0.00266295
-0.024884752,-0.00279267
-0.024883752,-0.00293018
-0.024882752,-0.00307547
-0.024881752,-0.00322336
-0.024880752,-0.00337384
-0.024879752,-0.00352432
-0.024878752,-0.00366961
-0.024877752,-0.00380971
-0.024876752,-0.00394203
-0.024875752,-0.00406138
-0.024874752,-0.00416775
-0.024873752,-0.00426115
-0.024872752,-0.0043338
-0.024871752,-0.00438828
-0.024870752,-0.00441941
-0.024869752,-0.00443239
-0.024868752,-0.00442201
-0.024867752,-0.00439087
-0.024866752,-0.00433639
-0.024865752,-0.00426634
-0.024864752,-0.00417813
-0.024863752,-0.00407435
-0.024862752,-0.003955
-0.024861752,-0.00382787
-0.024860752,-0.00368777
-0.024859752,-0.00354248
-0.024858752,-0.00339459
-0.024857752,-0.00324152
-0.024856752,-0.00308844
-0.024855752,-0.00293796
-0.024854752,-0.00279008
-0.024853752,-0.00264998
-0.024852752,-0.00252025
-0.024851752,-0.00239831
-0.024850752,-0.00228675
-0.024849752,-0.00218816
-0.024848752,-0.00210254
-0.024847752,-0.0020273
-0.024846752,-0.00196244
-0.024845752,-0.00191055
-0.024844752,-0.00186904
-0.024843752,-0.00183531
-0.024842752,-0.00181196
-0.024841752,-0.00179639
-0.024840752,-0.00178602
-0.024839752,-0.00178602
-0.024838752,-0.00178861
-0.024837752,-0.00179899
-0.024836752,-0.00181196
-0.024835752,-0.00183012
-0.024834752,-0.00184828
-0.024833752,-0.00186904
-0.024832752,-0.00188979
-0.024831752,-0.00191315
-0.024830752,-0.0019339
-0.024829752,-0.00195466
-0.024828752,-0.00197282
-0.024827752,-0.00199098
-0.024826752,-0.00200655
-0.024825752,-0.00202211
-0.024824752,-0.00203509
-0.024823752,-0.00204546
-0.024822752,-0.00205325
-0.024821752,-0.00205844
-0.024820752,-0.00206362
-0.024819752,-0.00206362
-0.024818752,-0.00205844
-0.024817752,-0.00205325
-0.024816752,-0.00204287
-0.024815752,-0.00203249
-0.024814752,-0.00201952
-0.024813752,-0.00200395
-0.024812752,-0.00199098
-0.024811752,-0.00197801
-0.024810752,-0.00196503
-0.024809752,-0.00195206
-0.024808752,-0.00194168
-0.024807752,-0.0019339
-0.024806752,-0.00192871
-0.024805752,-0.00192352
-0.024804752,-0.00192612
-0.024803752,-0.00192871
-0.024802752,-0.0019365
-0.024801752,-0.00195206
-0.024800752,-0.00197022
-0.024799752,-0.00199617
-0.024798752,-0.0020273
-0.024797752,-0.00206362
-0.024796752,-0.00210773
-0.024795752,-0.00215443
-0.024794752,-0.00220632
-0.024793752,-0.00226081
-0.024792752,-0.00232048
-0.024791752,-0.00238275
-0.024790752,-0.00244501
-0.024789752,-0.00250988
-0.024788752,-0.00257214
-0.024787752,-0.00263441
-0.024786752,-0.00269668
-0.024785752,-0.00275376
-0.024784752,-0.00280824
-0.024783752,-0.00285494
-0.024782752,-0.00289645
-0.024781752,-0.00293018
-0.024780752,-0.00295613
-0.024779752,-0.00297169
-0.024778752,-0.00297948
-0.024777752,-0.00297688
-0.024776752,-0.00296391
-0.024775752,-0.00294315
-0.024774752,-0.00291202
-0.024773752,-0.0028731
-0.024772752,-0.002829
-0.024771752,-0.00277451
-0.024770752,-0.00271743
-0.024769752,-0.00265257
-0.024768752,-0.00258512
-0.024767752,-0.00251506
-0.024766752,-0.00244501
-0.024765752,-0.00237496
-0.024764752,-0.00230491
-0.024763752,-0.00223746
-0.024762752,-0.00217519
-0.024761752,-0.0021207
-0.024760752,-0.00206881
-0.024759752,-0.0020273
-0.024758752,-0.00199098
-0.024757752,-0.00196763
-0.024756752,-0.00194947
-0.024755752,-0.00194428
-0.024754752,-0.00194687
-0.024753752,-0.00195725
-0.024752752,-0.0019806
-0.024751752,-0.00200914
-0.024750752,-0.00204806
-0.024749752,-0.00209476
-0.024748752,-0.00214924
-0.024747752,-0.00220892
-0.024746752,-0.00227637
-0.024745752,-0.00234642
-0.024744752,-0.00241907
-0.024743752,-0.00249431
-0.024742752,-0.00256955
