LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 11:10:07,0                 
Time,Ampl
-0.025001,0.89813
-0.025,0.900009
-0.024999,0.901888
-0.024998,0.903768
-0.024997,0.905712
-0.024996,0.907591
-0.024995,0.90947
-0.024994,0.91135
-0.024993,0.913294
-0.024992,0.915173
-0.024991,0.917053
-0.02499,0.918997
-0.024989,0.920876
-0.024988,0.922755
-0.024987,0.924699
-0.024986,0.926579
-0.024985,0.928458
-0.024984,0.930402
-0.024983,0.932282
-0.024982,0.934161
-0.024981,0.936105
-0.02498,0.937984
-0.024979,0.939864
-0.024978,0.941743
-0.024977,0.943622
-0.024976,0.945502
-0.024975,0.947381
-0.024974,0.949261
-0.024973,0.95114
-0.024972,0.953019
-0.024971,0.954899
-0.02497,0.956778
-0.024969,0.958657
-0.024968,0.960537
-0.024967,0.962416
-0.024966,0.964295
-0.024965,0.966175
-0.024964,0.967989
-0.024963,0.969868
-0.024962,0.971748
-0.024961,0.973627
-0.02496,0.975442
-0.024959,0.977321
-0.024958,0.9792
-0.024957,0.98108
-0.024956,0.982959
-0.024955,0.984838
-0.024954,0.986718
-0.024953,0.988597
-0.024952,0.990476
-0.024951,0.99242
-0.02495,0.994365
-0.024949,0.996244
-0.024948,0.998188
-0.024947,1.00013
-0.024946,1.00214
-0.024945,1.00415
-0.024944,1.00616
-0.024943,1.00817
-0.024942,1.01018
-0.024941,1.01225
-0.02494,1.01432
-0.024939,1.0164
-0.024938,1.01854
-0.024937,1.02068
-0.024936,1.02281
-0.024935,1.02495
-0.024934,1.02709
-0.024933,1.02929
-0.024932,1.0315
-0.024931,1.0337
-0.02493,1.0359
-0.024929,1.03817
-0.024928,1.04038
-0.024927,1.04264
-0.024926,1.04491
-0.024925,1.04718
-0.024924,1.04951
-0.024923,1.05178
-0.024922,1.05411
-0.024921,1.05645
-0.02492,1.05878
-0.024919,1.06111
-0.024918,1.06345
-0.024917,1.06584
-0.024916,1.06818
-0.024915,1.07058
-0.024914,1.07297
-0.024913,1.07537
-0.024912,1.07777
-0.024911,1.08017
-0.02491,1.0825
-0.024909,1.0849
-0.024908,1.08729
-0.024907,1.08969
-0.024906,1.09203
-0.024905,1.09436
-0.024904,1.09669
-0.024903,1.09902
-0.024902,1.10136
-0.024901,1.10363
-0.0249,1.10589
-0.024899,1.10816
-0.024898,1.11043
-0.024897,1.11263
-0.024896,1.11484
-0.024895,1.11704
-0.024894,1.11924
-0.024893,1.12145
-0.024892,1.12359
-0.024891,1.12579
-0.02489,1.12793
-0.024889,1.13007
-0.024888,1.13227
-0.024887,1.13447
-0.024886,1.13661
-0.024885,1.13881
-0.024884,1.14102
-0.024883,1.14322
-0.024882,1.14542
-0.024881,1.14763
-0.02488,1.1499
-0.024879,1.15216
-0.024878,1.15437
-0.024877,1.15664
-0.024876,1.15897
-0.024875,1.16124
-0.024874,1.16357
-0.024873,1.16584
-0.024872,1.16817
-0.024871,1.1705
-0.02487,1.17284
-0.024869,1.17523
-0.024868,1.17757
-0.024867,1.17997
-0.024866,1.18236
-0.024865,1.18476
-0.024864,1.18716
-0.024863,1.18956
-0.024862,1.19202
-0.024861,1.19448
-0.02486,1.19694
-0.024859,1.19947
-0.024858,1.20193
-0.024857,1.20446
-0.024856,1.20692
-0.024855,1.20945
-0.024854,1.21198
-0.024853,1.21451
-0.024852,1.2171
-0.024851,1.21963
-0.02485,1.22215
-0.024849,1.22468
-0.024848,1.22714
-0.024847,1.22967
-0.024846,1.23213
-0.024845,1.23466
-0.024844,1.23706
-0.024843,1.23952
-0.024842,1.24192
-0.024841,1.24425
-0.02484,1.24658
-0.024839,1.24892
-0.024838,1.25119
-0.024837,1.25345
-0.024836,1.25559
-0.024835,1.2578
-0.024834,1.25987
-0.024833,1.26194
-0.024832,1.26395
-0.024831,1.26596
-0.02483,1.26791
-0.024829,1.26985
-0.024828,1.27166
-0.024827,1.27348
-0.024826,1.27529
-0.024825,1.27704
-0.024824,1.27873
-0.024823,1.28041
-0.024822,1.2821
-0.024821,1.28372
-0.02482,1.28527
-0.024819,1.28689
-0.024818,1.28845
-0.024817,1.29
-0.024816,1.29149
-0.024815,1.29299
-0.024814,1.29454
-0.024813,1.29603
-0.024812,1.29752
-0.024811,1.29901
-0.02481,1.3005
-0.024809,1.30199
-0.024808,1.30348
-0.024807,1.30497
-0.024806,1.30653
-0.024805,1.30802
-0.024804,1.30958
-0.024803,1.31113
-0.024802,1.31262
-0.024801,1.31424
-0.0248,1.3158
-0.024799,1.31735
-0.024798,1.31897
-0.024797,1.32059
-0.024796,1.32221
-0.024795,1.3239
-0.024794,1.32552
-0.024793,1.3272
-0.024792,1.32895
-0.024791,1.33064
-0.02479,1.33239
-0.024789,1.33414
-0.024788,1.33595
-0.024787,1.33777
-0.024786,1.33958
-0.024785,1.34139
-0.024784,1.34327
-0.024783,1.34515
-0.024782,1.34703
-0.024781,1.34891
-0.02478,1.35086
-0.024779,1.35274
-0.024778,1.35468
-0.024777,1.35662
-0.024776,1.35857
-0.024775,1.36051
