LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,30-Mar-2023 10:46:52,0                 
Time,Ampl
-0.02500085,-0.00338162
-0.02499985,-0.00325449
-0.02499885,-0.00314033
-0.02499785,-0.00303396
-0.02499685,-0.00294056
-0.02499585,-0.00285494
-0.02499485,-0.00277711
-0.02499385,-0.00270706
-0.02499285,-0.00264738
-0.02499185,-0.0025929
-0.02499085,-0.0025436
-0.02498985,-0.00250469
-0.02498885,-0.00247096
-0.02498785,-0.00244242
-0.02498685,-0.00242166
-0.02498585,-0.0024061
-0.02498485,-0.00239572
-0.02498385,-0.00239053
-0.02498285,-0.00238794
-0.02498185,-0.00238794
-0.02498085,-0.00239053
-0.02497985,-0.00239572
-0.02497885,-0.00240091
-0.02497785,-0.0024061
-0.02497685,-0.00241129
-0.02497585,-0.00241647
-0.02497485,-0.00241907
-0.02497385,-0.00241907
-0.02497285,-0.00241647
-0.02497185,-0.00241388
-0.02497085,-0.0024061
-0.02496985,-0.00239572
-0.02496885,-0.00238275
-0.02496785,-0.00236718
-0.02496685,-0.00234902
-0.02496585,-0.00232826
-0.02496485,-0.00230751
-0.02496385,-0.00228675
-0.02496285,-0.0022634
-0.02496185,-0.00224264
-0.02496085,-0.00222189
-0.02495985,-0.00220373
-0.02495885,-0.00218297
-0.02495785,-0.0021674
-0.02495685,-0.00215443
-0.02495585,-0.00214146
-0.02495485,-0.00213108
-0.02495385,-0.0021233
-0.02495285,-0.00211811
-0.02495185,-0.00211551
-0.02495085,-0.00211551
-0.02494985,-0.00211811
-0.02494885,-0.0021233
-0.02494785,-0.00212849
-0.02494685,-0.00213627
-0.02494585,-0.00214665
-0.02494485,-0.00215703
-0.02494385,-0.00216481
-0.02494285,-0.00217519
-0.02494185,-0.00218297
-0.02494085,-0.00219075
-0.02493985,-0.00219854
-0.02493885,-0.00220373
-0.02493785,-0.00220892
-0.02493685,-0.0022141
-0.02493585,-0.0022141
-0.02493485,-0.0022167
-0.02493385,-0.0022141
-0.02493285,-0.00221151
-0.02493185,-0.00220632
-0.02493085,-0.00219854
-0.02492985,-0.00218816
-0.02492885,-0.00217778
-0.02492785,-0.00216481
-0.02492685,-0.00215184
-0.02492585,-0.00213886
-0.02492485,-0.0021233
-0.02492385,-0.00210773
-0.02492285,-0.00209216
-0.02492185,-0.00207919
-0.02492085,-0.00206362
-0.02491985,-0.00204806
-0.02491885,-0.00203509
-0.02491785,-0.00201952
-0.02491685,-0.00200655
-0.02491585,-0.00199357
-0.02491485,-0.0019806
-0.02491385,-0.00197022
-0.02491285,-0.00195985
-0.02491185,-0.00195206
-0.02491085,-0.00194428
-0.02490985,-0.00193909
-0.02490885,-0.0019339
-0.02490785,-0.0019339
-0.02490685,-0.00193131
-0.02490585,-0.0019339
-0.02490485,-0.0019365
-0.02490385,-0.00193909
-0.02490285,-0.00194428
-0.02490185,-0.00195206
-0.02490085,-0.00195725
-0.02489985,-0.00196503
-0.02489885,-0.00197022
-0.02489785,-0.00197801
-0.02489685,-0.00198579
-0.02489585,-0.00199098
-0.02489485,-0.00199617
-0.02489385,-0.00199876
-0.02489285,-0.00200136
-0.02489185,-0.00199876
-0.02489085,-0.00199617
-0.02488985,-0.00199098
-0.02488885,-0.0019832
-0.02488785,-0.00197282
-0.02488685,-0.00195985
-0.02488585,-0.00194428
-0.02488485,-0.00192612
-0.02488385,-0.00190536
-0.02488285,-0.0018872
