LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,29-Mar-2023 12:31:30,0                 
Time,Ampl
-0.025000825,-0.00170299
-0.024999825,-0.00171337
-0.024998825,-0.00172375
-0.024997825,-0.00172894
-0.024996825,-0.00173413
-0.024995825,-0.00173931
-0.024994825,-0.00174191
-0.024993825,-0.0017445
-0.024992825,-0.0017445
-0.024991825,-0.00174191
-0.024990825,-0.00173931
-0.024989825,-0.00173672
-0.024988825,-0.00173153
-0.024987825,-0.00172375
-0.024986825,-0.00171856
-0.024985825,-0.00171078
-0.024984825,-0.00170299
-0.024983825,-0.00169521
-0.024982825,-0.00168743
-0.024981825,-0.00168224
-0.024980825,-0.00167705
-0.024979825,-0.00166926
-0.024978825,-0.00166667
-0.024977825,-0.00166148
-0.024976825,-0.00165889
-0.024975825,-0.00165629
-0.024974825,-0.00165629
-0.024973825,-0.0016537
-0.024972825,-0.0016537
-0.024971825,-0.0016537
-0.024970825,-0.00165629
-0.024969825,-0.00165889
-0.024968825,-0.00165889
-0.024967825,-0.00166407
-0.024966825,-0.00166667
-0.024965825,-0.00166926
-0.024964825,-0.00167186
-0.024963825,-0.00167445
-0.024962825,-0.00167964
-0.024961825,-0.00168483
-0.024960825,-0.00169261
-0.024959825,-0.00170299
-0.024958825,-0.00172115
-0.024957825,-0.00175229
-0.024956825,-0.00179899
-0.024955825,-0.00187163
-0.024954825,-0.00197282
-0.024953825,-0.00211292
-0.024952825,-0.00230491
-0.024951825,-0.00254879
-0.024950825,-0.00286013
-0.024949825,-0.00324411
-0.024948825,-0.00370853
-0.024947825,-0.00426115
-0.024946825,-0.00491236
-0.024945825,-0.00566736
-0.024944825,-0.00652873
-0.024943825,-0.00750425
-0.024942825,-0.00859393
-0.024941825,-0.00979258
-0.024940825,-0.0110976
-0.024939825,-0.0124986
-0.024938825,-0.0139879
-0.024937825,-0.0155471
-0.024936825,-0.0171609
-0.024935825,-0.0188058
-0.024934825,-0.0204637
-0.024933825,-0.0221086
-0.024932825,-0.0237198
-0.024931825,-0.0252713
-0.024930825,-0.0267397
-0.024929825,-0.0281018
-0.024928825,-0.0293342
-0.024927825,-0.0304161
-0.024926825,-0.0313294
-0.024925825,-0.0320558
-0.024924825,-0.0325825
-0.024923825,-0.032899
-0.024922825,-0.0330054
-0.024921825,-0.032899
-0.024920825,-0.0325825
-0.024919825,-0.0320636
-0.024918825,-0.0313579
-0.024917825,-0.0304758
-0.024916825,-0.029438
-0.024915825,-0.0282653
-0.024914825,-0.0269758
-0.024913825,-0.0255956
-0.024912825,-0.0241452
-0.024911825,-0.022643
-0.024910825,-0.0211175
-0.024909825,-0.0195867
-0.024908825,-0.0180716
-0.024907825,-0.0165927
-0.024906825,-0.0151632
-0.024905825,-0.0138011
-0.024904825,-0.0125168
-0.024903825,-0.0113181
-0.024902825,-0.0102103
-0.024901825,-0.00919585
-0.024900825,-0.00827741
-0.024899825,-0.00745236
-0.024898825,-0.00671553
-0.024897825,-0.00606431
-0.024896825,-0.00549353
-0.024895825,-0.00499798
-0.024894825,-0.00456989
-0.024893825,-0.00420667
-0.024892825,-0.00389792
-0.024891825,-0.00363847
-0.024890825,-0.00341794
-0.024889825,-0.00323374
-0.024888825,-0.00307807
-0.024887825,-0.00294834
-0.024886825,-0.00283678
-0.024885825,-0.00274338
-0.024884825,-0.00266036
-0.024883825,-0.0025903
-0.024882825,-0.00252544
-0.024881825,-0.00247096
-0.024880825,-0.00242166
-0.024879825,-0.00237756
-0.024878825,-0.00233345
-0.024877825,-0.00229713
-0.024876825,-0.00226081
-0.024875825,-0.00222708
-0.024874825,-0.00219335
-0.024873825,-0.00216481
-0.024872825,-0.00213368
-0.024871825,-0.00210514
-0.024870825,-0.00207919
-0.024869825,-0.00205584
-0.024868825,-0.00203249
-0.024867825,-0.00200914
-0.024866825,-0.00198579
-0.024865825,-0.00196244
-0.024864825,-0.00194168
-0.024863825,-0.00191833
-0.024862825,-0.00189498
-0.024861825,-0.00187163
-0.024860825,-0.00185088
-0.024859825,-0.00182753
-0.024858825,-0.00180677
-0.024857825,-0.00178602
-0.024856825,-0.00176785
-0.024855825,-0.00174969
-0.024854825,-0.00173413
-0.024853825,-0.00172115
-0.024852825,-0.00170818
-0.024851825,-0.0016978
-0.024850825,-0.00169002
-0.024849825,-0.00168483
-0.024848825,-0.00167964
-0.024847825,-0.00167705
-0.024846825,-0.00167964
-0.024845825,-0.00168224
-0.024844825,-0.00168743
-0.024843825,-0.00169521
-0.024842825,-0.00170559
-0.024841825,-0.00171337
-0.024840825,-0.00172634
-0.024839825,-0.00173672
-0.024838825,-0.0017471
-0.024837825,-0.00176007
-0.024836825,-0.00177045
-0.024835825,-0.00178083
-0.024834825,-0.0017938
-0.024833825,-0.00180418
-0.024832825,-0.00181196
-0.024831825,-0.00181974
-0.024830825,-0.00182753
-0.024829825,-0.00183531
-0.024828825,-0.00183791
-0.024827825,-0.00184309
-0.024826825,-0.00184309
-0.024825825,-0.00184309
-0.024824825,-0.0018405
-0.024823825,-0.00183531
-0.024822825,-0.00183012
-0.024821825,-0.00182493
