LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 12:46:16,0                 
Time,Ampl
-0.025000416,-0.00175488
-0.024999416,-0.00176007
-0.024998416,-0.00176267
-0.024997416,-0.00176267
-0.024996416,-0.00176267
-0.024995416,-0.00175748
-0.024994416,-0.00174969
-0.024993416,-0.00174191
-0.024992416,-0.00173153
-0.024991416,-0.00171856
-0.024990416,-0.00170559
-0.024989416,-0.00169261
-0.024988416,-0.00167705
-0.024987416,-0.00166407
-0.024986416,-0.00164851
-0.024985416,-0.00163813
-0.024984416,-0.00162775
-0.024983416,-0.00162256
-0.024982416,-0.00161997
-0.024981416,-0.00162256
-0.024980416,-0.00163035
-0.024979416,-0.00164591
-0.024978416,-0.00166926
-0.024977416,-0.00170559
-0.024976416,-0.00174969
-0.024975416,-0.00180937
-0.024974416,-0.00187942
-0.024973416,-0.00196503
-0.024972416,-0.00206622
-0.024971416,-0.00218557
-0.024970416,-0.00232048
-0.024969416,-0.00247096
-0.024968416,-0.00263701
-0.024967416,-0.00281862
-0.024966416,-0.00301839
-0.024965416,-0.00323114
-0.024964416,-0.00345427
-0.024963416,-0.00369036
-0.024962416,-0.00393165
-0.024961416,-0.00417813
-0.024960416,-0.00442201
-0.024959416,-0.00466589
-0.024958416,-0.00490199
-0.024957416,-0.0051303
-0.024956416,-0.00534305
-0.024955416,-0.00553763
-0.024954416,-0.00571406
-0.024953416,-0.00586713
-0.024952416,-0.00599686
-0.024951416,-0.00609545
-0.024950416,-0.0061655
-0.024949416,-0.00620701
-0.024948416,-0.00621479
-0.024947416,-0.00619144
-0.024946416,-0.00613696
-0.024945416,-0.00605394
-0.024944416,-0.00594237
-0.024943416,-0.00580487
-0.024942416,-0.0056466
-0.024941416,-0.00546758
-0.024940416,-0.005273
-0.024939416,-0.00506284
-0.024938416,-0.00484491
-0.024937416,-0.00462438
-0.024936416,-0.00439866
-0.024935416,-0.00417553
-0.024934416,-0.0039576
-0.024933416,-0.00375004
-0.024932416,-0.00355286
-0.024931416,-0.00337124
-0.024930416,-0.00320779
-0.024929416,-0.00306509
-0.024928416,-0.00294315
-0.024927416,-0.00284716
-0.024926416,-0.00277192
-0.024925416,-0.00272522
-0.024924416,-0.00270187
-0.024923416,-0.00270187
-0.024922416,-0.00272522
-0.024921416,-0.00276932
-0.024920416,-0.00283419
-0.024919416,-0.00291721
-0.024918416,-0.0030158
-0.024917416,-0.00312736
-0.024916416,-0.0032493
-0.024915416,-0.00337643
-0.024914416,-0.00350875
-0.024913416,-0.00364107
-0.024912416,-0.00377079
-0.024911416,-0.00389533
-0.024910416,-0.00401208
-0.024909416,-0.00411586
-0.024908416,-0.00420407
-0.024907416,-0.00427931
-0.024906416,-0.0043338
-0.024905416,-0.00437012
-0.024904416,-0.00438828
-0.024903416,-0.00438309
-0.024902416,-0.00435715
-0.024901416,-0.00431304
-0.024900416,-0.00424818
-0.024899416,-0.00416515
-0.024898416,-0.00406656
-0.024897416,-0.00395241
-0.024896416,-0.00382528
-0.024895416,-0.00368777
-0.024894416,-0.00354248
-0.024893416,-0.0033894
-0.024892416,-0.00323374
-0.024891416,-0.00307807
-0.024890416,-0.0029224
-0.024889416,-0.00276932
-0.024888416,-0.00262403
-0.024887416,-0.00248653
-0.024886416,-0.0023594
-0.024885416,-0.00224264
-0.024884416,-0.00213886
-0.024883416,-0.00204806
-0.024882416,-0.00197022
-0.024881416,-0.00190536
-0.024880416,-0.00185607
-0.024879416,-0.00181974
-0.024878416,-0.00179899
-0.024877416,-0.0017912
-0.024876416,-0.0017938
-0.024875416,-0.00180937
-0.024874416,-0.00183531
-0.024873416,-0.00186904
-0.024872416,-0.00191315
-0.024871416,-0.00196503
-0.024870416,-0.00201952
-0.024869416,-0.00208179
-0.024868416,-0.00214146
-0.024867416,-0.00220373
-0.024866416,-0.00226859
-0.024865416,-0.00232826
-0.024864416,-0.00238794
-0.024863416,-0.00244242
-0.024862416,-0.00249171
-0.024861416,-0.00253841
-0.024860416,-0.00257733
-0.024859416,-0.00260847
-0.024858416,-0.00263182
-0.024857416,-0.00264738
-0.024856416,-0.00265517
-0.024855416,-0.00265517
-0.024854416,-0.00264738
-0.024853416,-0.00263182
-0.024852416,-0.00260847
-0.024851416,-0.00257733
-0.024850416,-0.0025436
-0.024849416,-0.00250469
-0.024848416,-0.00246058
-0.024847416,-0.00241907
-0.024846416,-0.00238015
-0.024845416,-0.00234383
-0.024844416,-0.00231529
-0.024843416,-0.00229713
-0.024842416,-0.00229194
-0.024841416,-0.00230751
-0.024840416,-0.00234383
-0.024839416,-0.0024061
-0.024838416,-0.0024969
-0.024837416,-0.00262403
-0.024836416,-0.00279008
-0.024835416,-0.00299504
-0.024834416,-0.00324671
-0.024833416,-0.00354248
-0.024832416,-0.00388754
-0.024831416,-0.00427931
-0.024830416,-0.00471518
-0.024829416,-0.00519776
-0.024828416,-0.00572184
-0.024827416,-0.00628484
-0.024826416,-0.00687898
-0.024825416,-0.00749906
-0.024824416,-0.00813471
-0.024823416,-0.00878333
-0.024822416,-0.00942936
-0.024821416,-0.010065
-0.024820416,-0.0106825
-0.024819416,-0.0112688
-0.024818416,-0.0118163
-0.024817416,-0.0123118
-0.024816416,-0.0127503
-0.024815416,-0.0131213
-0.024814416,-0.0134223
-0.024813416,-0.0136428
-0.024812416,-0.0137829
-0.024811416,-0.0138374
-0.024810416,-0.0138088
-0.024809416,-0.0136973
-0.024808416,-0.0135053
-0.024807416,-0.0132381
-0.024806416,-0.0129008
-0.024805416,-0.0124986
-0.024804416,-0.012042
-0.024803416,-0.0115361
-0.024802416,-0.0109938
-0.024801416,-0.0104204
-0.024800416,-0.00982891
-0.024799416,-0.00922439
-0.024798416,-0.00861988
-0.024797416,-0.00802315
-0.024796416,-0.00743679
-0.024795416,-0.00687379
-0.024794416,-0.00633414
-0.024793416,-0.00582303
-0.024792416,-0.00534824
