LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 13:14:41,0                 
Time,Ampl
-0.02500063,-0.00172375
-0.02499963,-0.00170559
-0.02499863,-0.00168743
-0.02499763,-0.00167186
-0.02499663,-0.00165889
-0.02499563,-0.00164591
-0.02499463,-0.00163813
-0.02499363,-0.00163554
-0.02499263,-0.00164072
-0.02499163,-0.00164851
-0.02499063,-0.00166667
-0.02498963,-0.00169261
-0.02498863,-0.00173153
-0.02498763,-0.00177823
-0.02498663,-0.00183791
-0.02498563,-0.00191315
-0.02498463,-0.00200136
-0.02498363,-0.00210514
-0.02498263,-0.00222708
-0.02498163,-0.00236458
-0.02498063,-0.00252025
-0.02497963,-0.00269408
-0.02497863,-0.00288348
-0.02497763,-0.00308844
-0.02497663,-0.00330638
-0.02497563,-0.00353988
-0.02497463,-0.00378377
-0.02497363,-0.00403543
-0.02497263,-0.00429488
-0.02497163,-0.00455433
-0.02497063,-0.00481637
-0.02496963,-0.00507322
-0.02496863,-0.00532489
-0.02496763,-0.00556617
-0.02496663,-0.00579189
-0.02496563,-0.00599945
-0.02496463,-0.00618625
-0.02496363,-0.00634971
-0.02496263,-0.00648462
-0.02496163,-0.00659099
-0.02496063,-0.00666623
-0.02495963,-0.00671034
-0.02495863,-0.00672331
-0.02495763,-0.00670515
-0.02495663,-0.00665586
-0.02495563,-0.00657543
-0.02495463,-0.00646905
-0.02495363,-0.00633414
-0.02495263,-0.00617588
-0.02495163,-0.00599945
-0.02495063,-0.00580227
-0.02494963,-0.00559212
-0.02494863,-0.00537159
-0.02494763,-0.00514327
-0.02494663,-0.00491236
-0.02494563,-0.00468146
-0.02494463,-0.00445574
-0.02494363,-0.00424039
-0.02494263,-0.00403543
-0.02494163,-0.00384344
-0.02494063,-0.00366961
-0.02493963,-0.00351653
-0.02493863,-0.00338681
-0.02493763,-0.00327784
-0.02493663,-0.00319482
-0.02493563,-0.00313774
-0.02493463,-0.00310401
-0.02493363,-0.00309882
-0.02493263,-0.00311698
-0.02493163,-0.0031585
-0.02493063,-0.00322076
-0.02492963,-0.00330379
-0.02492863,-0.00340497
