LECROYWR610Zi,56383,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,27-Mar-2023 13:08:18,0                 
Time,Ampl
-0.025001,0.0724699
-0.025,0.072488
-0.024999,0.0725062
-0.024998,0.0725243
-0.024997,0.0725425
-0.024996,0.072558
-0.024995,0.0725762
-0.024994,0.0725943
-0.024993,0.0726099
-0.024992,0.0726254
-0.024991,0.072641
-0.02499,0.0726565
-0.024989,0.0726721
-0.024988,0.0726876
-0.024987,0.0727032
-0.024986,0.0727161
-0.024985,0.0727317
-0.024984,0.0727447
-0.024983,0.0727576
-0.024982,0.0727732
-0.024981,0.0727861
-0.02498,0.0727991
-0.024979,0.0728147
-0.024978,0.0728276
-0.024977,0.0728406
-0.024976,0.0728535
-0.024975,0.0728691
-0.024974,0.072882
-0.024973,0.0728976
-0.024972,0.0729106
-0.024971,0.0729235
-0.02497,0.0729391
-0.024969,0.0729546
-0.024968,0.0729676
-0.024967,0.0729831
-0.024966,0.0729987
-0.024965,0.0730143
-0.024964,0.0730298
-0.024963,0.0730479
-0.024962,0.0730635
-0.024961,0.0730791
-0.02496,0.0730972
-0.024959,0.0731128
-0.024958,0.0731309
-0.024957,0.073149
-0.024956,0.0731672
-0.024955,0.0731853
-0.024954,0.0732009
-0.024953,0.073219
-0.024952,0.0732372
-0.024951,0.0732553
-0.02495,0.0732761
-0.024949,0.0732942
-0.024948,0.0733124
-0.024947,0.0733279
-0.024946,0.0733461
-0.024945,0.0733642
-0.024944,0.0733823
-0.024943,0.0734005
-0.024942,0.0734186
-0.024941,0.0734342
-0.02494,0.0734523
-0.024939,0.0734705
-0.024938,0.0734886
-0.024937,0.0735042
-0.024936,0.0735223
-0.024935,0.0735405
-0.024934,0.0735586
-0.024933,0.0735768
-0.024932,0.0735949
-0.024931,0.073613
-0.02493,0.0736312
-0.024929,0.0736493
-0.024928,0.0736701
-0.024927,0.0736882
-0.024926,0.073709
-0.024925,0.0737271
-0.024924,0.0737478
-0.024923,0.0737686
-0.024922,0.0737893
-0.024921,0.0738101
-0.02492,0.0738308
-0.024919,0.0738515
-0.024918,0.0738749
-0.024917,0.0738956
-0.024916,0.0739189
-0.024915,0.0739397
-0.024914,0.073963
-0.024913,0.0739837
-0.024912,0.0740071
-0.024911,0.0740304
-0.02491,0.0740511
-0.024909,0.0740745
-0.024908,0.0740952
-0.024907,0.0741185
-0.024906,0.0741393
-0.024905,0.0741626
-0.024904,0.0741833
-0.024903,0.0742067
-0.024902,0.0742274
-0.024901,0.0742481
-0.0249,0.0742715
-0.024899,0.0742922
-0.024898,0.0743129
-0.024897,0.0743337
-0.024896,0.074357
-0.024895,0.0743777
-0.024894,0.0743985
-0.024893,0.0744218
-0.024892,0.0744425
-0.024891,0.0744659
-0.02489,0.0744866
-0.024889,0.0745099
-0.024888,0.0745333
-0.024887,0.074554
-0.024886,0.0745773
-0.024885,0.0746007
-0.024884,0.074624
-0.024883,0.0746473
-0.024882,0.0746707
-0.024881,0.074694
-0.02488,0.0747147
-0.024879,0.0747381
-0.024878,0.0747614
-0.024877,0.0747821
-0.024876,0.0748055
-0.024875,0.0748262
-0.024874,0.0748495
-0.024873,0.0748703
-0.024872,0.074891
-0.024871,0.0749117
-0.02487,0.0749351
-0.024869,0.0749558
-0.024868,0.0749765
-0.024867,0.0749973
-0.024866,0.075018
-0.024865,0.0750388
-0.024864,0.0750595
-0.024863,0.0750802
-0.024862,0.0751036
-0.024861,0.0751243
-0.02486,0.0751476
-0.024859,0.075171
-0.024858,0.0751943
-0.024857,0.0752176
-0.024856,0.0752409
-0.024855,0.0752643
-0.024854,0.0752902
-0.024853,0.0753161
-0.024852,0.075342
-0.024851,0.075368
-0.02485,0.0753939
-0.024849,0.0754198
-0.024848,0.0754457
-0.024847,0.0754716
-0.024846,0.0755002
-0.024845,0.0755261
-0.024844,0.075552
-0.024843,0.0755805
-0.024842,0.0756064
-0.024841,0.075635
-0.02484,0.0756609
-0.024839,0.0756868
-0.024838,0.0757153
-0.024837,0.0757412
-0.024836,0.0757672
-0.024835,0.0757957
-0.024834,0.0758216
-0.024833,0.0758475
-0.024832,0.0758734
-0.024831,0.0758994
-0.02483,0.0759227
-0.024829,0.0759486
-0.024828,0.0759745
-0.024827,0.0760005
-0.024826,0.0760238
-0.024825,0.0760497
-0.024824,0.076073
-0.024823,0.0760964
-0.024822,0.0761197
-0.024821,0.076143
-0.02482,0.0761689
-0.024819,0.0761923
-0.024818,0.0762156
-0.024817,0.0762389
-0.024816,0.0762623
-0.024815,0.0762856
-0.024814,0.0763089
-0.024813,0.0763348
-0.024812,0.0763582
-0.024811,0.0763815
-0.02481,0.0764074
-0.024809,0.0764308
-0.024808,0.0764567
-0.024807,0.07648
-0.024806,0.0765059
-0.024805,0.0765319
-0.024804,0.0765578
-0.024803,0.0765837
-0.024802,0.0766096
-0.024801,0.0766355
-0.0248,0.0766615
-0.024799,0.0766874
-0.024798,0.0767133
-0.024797,0.0767392
-0.024796,0.0767652
-0.024795,0.0767911
-0.024794,0.0768144
-0.024793,0.0768403
-0.024792,0.0768637
-0.024791,0.076887
-0.02479,0.0769103
-0.024789,0.0769336
-0.024788,0.076957
-0.024787,0.0769803
-0.024786,0.077001
-0.024785,0.0770244
-0.024784,0.0770451
